SAMPLE CODE,Acanthurus bahianus,Acanthurus chirurgus,Acanthurus coeruleus,Acanthurus tractus,Aetobatus narinari,Alectis ciliaris,Balistes vetula,Calamus pennatula,Canthidermis sufflamen,Caranx crysos,Caranx hippos,Caranx latus,Caranx lugubris,Caranx ruber,Carcharhinus limbatus,Carcharhinus perezii,Cephalopholis cruentata,Cephalopholis fulva,Chaetodon ocellatus,Chaetodon sedentarius,Chaetodon striatus,Decapterus macarellus,Elagatis bipinnulata,Epinephelus adscensionis,Epinephelus guttatus,Epinephelus itajara,Epinephelus striatus,Gerres cinereus,Ginglymostoma cirratum,Gymnothorax moringa,Haemulon plumierii,Holacanthus ciliaris,Holacanthus tricolor,Hypanus americanus,Istiophorus albicans,Lachnolaimus maximus,Lactophrys trigonus,Lactophrys triqueter,Lutjanus analis,Lutjanus apodus,Lutjanus cyanopterus,Lutjanus griseus,Lutjanus jocu,Lutjanus mahogoni,Lutjanus synagris,Microspathodon chrysurus,Mycteroperca interstitialis,Mycteroperca tigris,Mycteroperca venenosa,Negaprion brevirostris,Ocyurus chrysurus,Pomacanthus paru,Pterois volitans,Scarus coelestinus,Scarus iseri,Scarus taeniopterus,Scomberomorus regalis,Seriola rivoliana,Sparisoma aurofrenatum,Sparisoma chrysopterum,Sparisoma radians,Sparisoma rubripinne,Sparisoma viride,Sphyraena barracuda,Trachinotus falcatus,,YEAR,REGION,LOCATION,SITE NAME,DEPTH ZONE,TRANSECT
2016El Seco5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,1147.29,0.00,0.00,45.95,0.00,0.00,0.00,0.00,0.00,0.00,,2016,Vieques/Culebra,Isla Vieques,El Seco,Mesophotic,5
2016Esperanza1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,130.04,0.00,0.00,109.99,50.38,0.00,0.00,,2016,Vieques/Culebra,Isla Vieques,Esperanza,Shallow,1
2016Esperanza2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.16,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,1.32,81.35,0.00,0.00,181.55,0.00,0.00,0.00,5.12,0.00,0.00,,2016,Vieques/Culebra,Isla Vieques,Esperanza,Shallow,2
2016Esperanza3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.04,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,8.80,0.00,0.00,0.00,218.58,0.00,0.00,0.00,723.07,0.00,0.00,,2016,Vieques/Culebra,Isla Vieques,Esperanza,Shallow,3
2016Esperanza4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.52,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,1.32,9.90,0.00,0.00,105.27,0.00,0.00,0.00,1.92,0.00,0.00,,2016,Vieques/Culebra,Isla Vieques,Esperanza,Shallow,4
2016Esperanza5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.38,0.00,,,,0.00,0.00,0.00,439.34,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.67,,0.00,0.00,0.00,28.50,0.00,0.00,143.04,0.00,0.00,0.00,4335.10,0.00,0.00,,2016,Vieques/Culebra,Isla Vieques,Esperanza,Shallow,5
2016Guanajibo1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,41.16,0.00,0.00,45.95,0.00,1.50,0.00,0.00,0.00,0.00,,2016,West,Mayaguez,Guanajibo,Intermediate,1
2016Guanajibo2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,20.58,0.00,0.00,0.00,0.00,0.00,0.00,12.66,7662.54,0.00,,2016,West,Mayaguez,Guanajibo,Intermediate,2
2016Guanajibo3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,932.40,5729.80,7600.00,0.00,0.00,0.00,0.00,0.00,8670.20,0.00,0.00,,2016,West,Mayaguez,Guanajibo,Intermediate,3
2016Guanajibo4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,6041.60,0.00,0.00,105.27,0.00,0.00,0.00,94.36,0.00,0.00,,2016,West,Mayaguez,Guanajibo,Intermediate,4
2016Guanajibo5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130.85,0.00,0.00,0.00,0.00,19100.00,0.00,0.00,,0.00,0.00,0.00,86.09,0.00,0.00,151.22,0.00,0.00,0.00,904.96,0.00,0.00,,2016,West,Mayaguez,Guanajibo,Intermediate,5
2016Manchas Exteriores 10m1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,1178.10,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,109.62,41.16,0.00,0.00,16.36,0.00,0.00,0.00,58.56,0.00,0.00,,2016,West,Mayaguez,Manchas Exteriores 10m,Shallow,1
2016Manchas Exteriores 10m2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,153.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2016,West,Mayaguez,Manchas Exteriores 10m,Shallow,2
2016Manchas Exteriores 10m3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,42.15,284.72,0.00,0.00,218.58,0.00,0.00,0.00,0.00,0.00,0.00,,2016,West,Mayaguez,Manchas Exteriores 10m,Shallow,3
2016Manchas Exteriores 10m4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.04,545.89,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,44.97,0.00,0.00,0.00,37.77,0.00,0.00,0.00,894.22,0.00,0.00,,2016,West,Mayaguez,Manchas Exteriores 10m,Shallow,4
2016Manchas Exteriores 10m5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.16,0.00,,,,0.00,0.00,0.00,439.34,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,1666.49,0.00,0.00,37.77,0.00,0.00,0.00,1468.11,0.00,0.00,,2016,West,Mayaguez,Manchas Exteriores 10m,Shallow,5
2016Manchas Exteriores 20m1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.04,35.52,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,582.12,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,16.86,773.54,0.00,0.00,205.35,0.00,0.00,0.00,446.79,0.00,0.00,,2016,West,Mayaguez,Manchas Exteriores 20m,Intermediate,1
2016Manchas Exteriores 20m2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.08,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,73.08,393.06,0.00,0.00,37.77,0.00,0.00,0.00,0.00,0.00,0.00,,2016,West,Mayaguez,Manchas Exteriores 20m,Intermediate,2
2016Manchas Exteriores 20m3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.04,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,123.66,623.61,0.00,0.00,105.64,0.00,0.00,0.00,122.43,0.00,0.00,,2016,West,Mayaguez,Manchas Exteriores 20m,Intermediate,3
2016Manchas Exteriores 20m4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,420.76,261.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,36.54,338.89,0.00,0.00,37.77,0.00,0.00,0.00,47.18,0.00,0.00,,2016,West,Mayaguez,Manchas Exteriores 20m,Intermediate,4
2016Manchas Exteriores 20m5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172.71,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,108.65,0.00,0.00,121.63,0.00,0.00,0.00,122.43,0.00,0.00,,2016,West,Mayaguez,Manchas Exteriores 20m,Intermediate,5
2016Maria Langa 10m (2016)1,0.00,9.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.55,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,143.04,100.45,0.00,0.00,0.00,0.00,0.00,,2016,South,Guayanilla,Maria Langa 10m (2016),Shallow,1
2016Maria Langa 10m (2016)2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,395.99,,0.00,0.00,97.63,61.74,0.00,0.00,45.95,0.00,0.00,0.00,0.00,0.00,0.00,,2016,South,Guayanilla,Maria Langa 10m (2016),Shallow,2
2016Maria Langa 10m (2016)3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,27.05,0.00,0.00,0.00,45.95,0.00,0.50,0.00,0.00,0.00,0.00,,2016,South,Guayanilla,Maria Langa 10m (2016),Shallow,3
2016Maria Langa 10m (2016)4,0.00,18.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.26,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.84,,0.00,0.00,109.62,0.00,0.00,0.00,105.27,0.00,9.85,0.00,0.00,0.00,0.00,,2016,South,Guayanilla,Maria Langa 10m (2016),Shallow,4
2016Maria Langa 10m (2016)5,0.00,0.00,10.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.26,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,358.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,16.86,0.00,0.00,0.00,0.00,100.45,0.00,0.00,0.00,0.00,0.00,,2016,South,Guayanilla,Maria Langa 10m (2016),Shallow,5
2016Maria Langa 20m (2016)1,0.00,38.37,43.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,439.34,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.67,,0.00,0.00,0.88,41.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2016,South,Guayanilla,Maria Langa 20m (2016),Intermediate,1
2016Maria Langa 20m (2016)2,40.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,337.14,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.67,,0.00,0.00,0.00,20.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2016,South,Guayanilla,Maria Langa 20m (2016),Intermediate,2
2016Maria Langa 20m (2016)3,841.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.08,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,351.97,,254.47,0.00,8.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2016,South,Guayanilla,Maria Langa 20m (2016),Intermediate,3
2016Maria Langa 20m (2016)4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,94.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,65.51,0.00,0.00,227.84,0.00,0.00,0.00,0.00,0.00,0.00,,2016,South,Guayanilla,Maria Langa 20m (2016),Intermediate,4
2016Maria Langa 20m (2016)5,208.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,1178.10,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,221.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117.72,,0.00,0.00,370.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2016,South,Guayanilla,Maria Langa 20m (2016),Intermediate,5
2016Maria Langa 5m1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.16,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,302.31,0.00,0.00,0.00,37.77,0.00,0.00,0.00,446.79,0.00,0.00,,2016,South,Guayanilla,Maria Langa 5m,Very Shallow,1
2016Maria Langa 5m2,81.86,38.37,10.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,44.97,0.00,0.00,0.00,353.58,0.00,0.00,0.00,0.00,0.00,0.00,,2016,South,Guayanilla,Maria Langa 5m,Very Shallow,2
2016Maria Langa 5m3,81.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,105.27,0.00,0.00,0.00,0.00,0.00,0.00,,2016,South,Guayanilla,Maria Langa 5m,Very Shallow,3
2016Maria Langa 5m4,81.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.04,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,195.26,0.00,0.00,0.00,75.54,0.00,0.00,0.00,0.00,0.00,0.00,,2016,South,Guayanilla,Maria Langa 5m,Very Shallow,4
2016Maria Langa 5m5,40.93,0.00,43.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.12,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,2016,South,Guayanilla,Maria Langa 5m,Very Shallow,5
2016Palominitos (2016)1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.38,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,1.32,26.52,0.00,0.00,370.88,0.00,1.00,0.00,1.28,0.00,0.00,,2016,North/Northeast,Fajardo,Palominitos (2016),Shallow,1
2016Palominitos (2016)2,0.00,0.00,112.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,9.90,0.00,0.00,0.00,0.00,0.00,0.00,94.36,0.00,0.00,,2016,North/Northeast,Fajardo,Palominitos (2016),Shallow,2
2016Palominitos (2016)3,40.93,0.00,11.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.67,,0.00,0.00,0.00,31.68,0.00,0.00,236.02,0.00,1.00,0.00,1.28,0.00,0.00,,2016,North/Northeast,Fajardo,Palominitos (2016),Shallow,3
2016Palominitos (2016)4,40.93,0.00,54.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,13.86,0.00,0.00,143.04,0.00,1.00,0.00,11.38,0.00,0.00,,2016,North/Northeast,Fajardo,Palominitos (2016),Shallow,4
2016Palominitos (2016)5,0.00,0.00,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.98,,0.00,0.00,50.58,15.84,0.00,0.00,0.00,0.00,0.00,0.00,989.22,0.00,0.00,,2016,North/Northeast,Fajardo,Palominitos (2016),Shallow,5
2016Palominos (2016)1,81.86,0.00,21.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,355.46,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.65,,0.00,0.00,25.29,397.80,0.00,0.00,37.77,0.00,0.00,0.00,0.64,0.00,0.00,,2016,North/Northeast,Fajardo,Palominos (2016),Intermediate,1
2016Palominos (2016)2,0.00,99.56,424.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.16,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,221.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,11.88,0.00,0.00,37.77,0.00,0.00,0.00,252.35,0.00,0.00,,2016,North/Northeast,Fajardo,Palominos (2016),Intermediate,2
2016Palominos (2016)3,10.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.08,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,399.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,73.08,7.92,0.00,0.00,210.54,0.00,0.00,0.00,497.21,0.00,0.00,,2016,North/Northeast,Fajardo,Palominos (2016),Intermediate,3
2016Palominos (2016)4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,75.54,0.00,0.00,0.00,895.50,0.00,0.00,,2016,North/Northeast,Fajardo,Palominos (2016),Intermediate,4
