SAMPLE CODE,Rugosity (m),Reef overhang,Rubble,Sand,Sand and rubble,Gaps/Holes,Abiotic (total),Lebrunia neglecta,Phymanthus crucifer,Ricordea florida,Anemone spp. ,Anemones (total),Eudistoma spp. ,Trididemnum solidum,Ascidian spp. ,Tunicata (total),CCA (total),Cyanobacteria (total),Thalassia testudinum,Seagrass (total),Amphiroa spp. ,Asparagopsis taxiformis,Asparagopsis taxiformis on Ramicrusta,Caulerpa racemosa,Caulerpa spp.  ,Caulerpa spp.  on Ramicrusta,Dichotomaria marginata,Dictyota spp. ,Dictyota spp.  on Ramicrusta,Galaxaura spp. ,Galaxaura spp.  on Ramicrusta,Gracilaria spp. ,Halimeda discoidea,Halimeda spp. ,Halimeda spp.  on Ramicrusta,Halimeda tuna,Jania spp. ,Lobophora spp. ,Lobophora variegata,Lobophora variegatus on Ramicrusta,Martensia pavonia,Padina spp. ,Sargassum hystrix,Sargassum natans,Stypopodium spp. ,Stypopodium zonale,Udotea spp.  ,Valonia ventricosa,Wrangelia bicuspidata,Macroalgae spp. ,Macroalgae (total),Ramicrusta spp. ,Peyssonnelia spp. ,Peyssonneliaceae (total),Turf (mixed) on Ramicrusta,Turf (mixed) with sediment,Turf (mixed),Turf Algae (total),Antillogorgia acerosa,Antillogorgia americana,Antillogorgia bipinnata,Antillogorgia rigida,Eunicea calyculata,Eunicea flexuosa,Eunicea mammosa,Eunicea pallida,Eunicea spp. ,Eunicea succinea,Eunicea tourneforti,Gorgonia mariae,Gorgonia ventalina,Muricea atlantica,Muricea elongata,Muricea muricata,Muricea pinnata,Muriceopsis flavida,Plexaura homomalla,Plexaura kukenthali,Plexaura spp. ,Plexaurella nutans,Pseudoplexaura flagellosa,Pseudoplexaura spp. ,Pseudoplexaura wagenaari,Pterogorgia guadalupensis,Pterogorgia spp.  ,Octocoral spp.,Octocorals (total erect),Briareum asbestinum,Erythropodium caribaeorum,Octocoral spp. (encrusting),Octocorals (total encrusting),Antillogorgia acerosa (# col.),Antillogorgia americana (# col.),Antillogorgia bipinnata (# col.),Antillogorgia spp.  (# col.)  ,Briareum asbestinum (# col.),Erythropodium caribaeorum (# col.),Eunicea asperula (# col.),Eunicea calyculata (# col.),Eunicea flexuosa (# col.),Eunicea lacinata (# col.),Eunicea laxispica (# col.),Eunicea mammosa (# col.),Eunicea spp.  (# col.),Eunicea succinea (# col.),Eunicea tourneforti (# col.),Gorgonia ventalina (# col.),Muricea atlantica (# col.),Muricea elongata (# col.),Muricea laxa (# col.),Muricea muricata (# col.),Muricea spp.  (# col).,Muriceopsis flavida (# col.),Plexaura homomalla (# col.),Plexaura kukenthali (# col.),Plexaura kuna (# col.),Plexaura spp.  (# col.),Plexaurella dichotoma (# col.),Plexaurella nutans (# col.),Plexaurella spp.  (# col.),Pseudoplexaura flagellosa (# col.),Pseudoplexaura porosa (# col.),Pterogorgia citrina (# col.),Pterogorgia guadalupensis (# col.),Pterogorgia spp.  (# col.),Octocoral (total # col.),Agelas citrina,Agelas clathrodes,Agelas conifera,Agelas dispar,Agelas sceptrum,Agelas spp. ,Agelas sventres,Agelas tubulata,Aiolochroia crassa,Amphimedon compressa,Amphimedon viridis,Aplysina archeri,Aplysina cauliformis,Aplysina fistularis,Aplysina fulva,Aplysina lacunosa,Aplysina spp. ,Biemna caribea,Biemna spp. ,Callyspongia armigera,Callyspongia fallax,Callyspongia plicifera,Callyspongia spp. ,Callyspongia tenerrima,Callyspongia vaginalis,Chondrilla caribensis,Chondrosia collectrix,Cinachyrella apion,Cinachyrella kuekenthali,Clathria spp.  ,Clathria venosa,Cliona aprica,Cliona caribbaea,Cliona delitrix,Cliona laticavicola,Cliona spp.  ,Cliona tenuis,Cliona varians,Cribrochalina vasculum,Desmapsamma spp. ,Desmapsamma anchorata,Dictyonella funicularis,Dictyonella spp. ,Diplastrella spp. ,Dragmacidon reticulatum,Dysidea etheria,Dysidea janiae,Ectyoplasia ferox,Geodia neptuni,Haliclona spp. ,Halisarca caerulea,Halisarca spp. ,Iotrochota arenosa,Iotrochota birotulata,Ircinia campana,Ircinia felix,Ircinia spp. ,Ircinia strobilina,Monanchora arbuscula,Mycale laevis,Mycale laxissima,Neofibularia nolitangere,Neopetrosia carbonaria,Neopetrosia proxima,Neopetrosia rosariensis,Neopetrosia spp. ,Niphates alba,Niphates caribica,Niphates caycedoi,Niphates digitalis,Niphates erecta,Niphates spp. ,Petrosia pellasarca,Petrosia spp. ,Petrosia weinbergi,Phorbas amaranthus,Placospherastra micraster,Plakortis angulospiculatus,Plakortis halichondrioides,Plakortis spp. ,Prosuberites laughlini,Ptilocaulis walpersii,Scopalina ruetzleri,Smenospongia aurea,Smenospongia conulosa,Spheciospongia vesparium,Spirastrella coccinea,Spirastrella hartmani,Suberea spp. ,Svenzea zeai,Tedania klausi,Topsentia ophiraphidites,Topsentia spp. ,Verongula reiswigi,Verongula rigida,Verongula spp. ,Xestospongia muta,Sponge spp. ,Sponges (total),Acropora cervicornis,Acropora palmata,Acropora prolifera,Agaricia agaricites,Agaricia grahamae,Agaricia humilis,Agaricia lamarcki,Agaricia spp.  ,Colpophyllia natans,Dendrogyra cylindrus,Dichocoenia stokesii,Diploria labyrinthiformis,Eusmilia fastigiata,Helioseris cucullata,Isophyllia rigida,Isophyllia sinuosa,Madracis auretenra,Madracis carmabi,Madracis decactis,Madracis formosa,Madracis pharensis,Madracis senaria,Madracis spp. ,Manicina areolata,Meandrina meandrites,Montastraea cavernosa,Mussa angulosa,Mycetophyllia aliciae,Mycetophyllia danaana,Mycetophyllia ferox,Mycetophyllia lamarckiana,Mycetophyllia spp. ,Oculina diffusa,Orbicella annularis,Orbicella annularis (complex),Orbicella faveolata,Orbicella franksi,Porites astreoides,Porites colonensis,Porites divaricata,Porites furcata,Porites porites,Pseudodiploria clivosa,Pseudodiploria strigosa,Scolymia cubensis,Scolymia spp. ,Siderastrea radians,Siderastrea siderea,Solenastrea bournoni,Stephanocoenia intersepta,Stony Coral spp. ,Millepora alcicornis,Millepora complanata,Millepora spp. ,Millepora squarrosa,Stylaster roseus,Stony Corals (total),Stony Corals (total # diseased col.),Stony Corals (total #col.),Partially bleached coral (total),Recently dead coral (total),Condominium spp.  ,Palythoa grandis,Palythoa caribaeorum,Zoanthids (total),,YEAR,REGION,LOCATION,SITE NAME,DEPTH ZONE,TRANSECT
2016Cibuco (2013)4,3.43,19.92,5.53,4.17,0,0,29.61,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,0,,,0,,0,,,,0,,,,,,,26.59,26.59,0,0,0,,14.91,0,14.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,0,,0,,0,0,0,0,,0,0,,0,,,0,0,0,0,,,0,0,,,0,0,,0,0,0,,,0,,,,0,0,0,0,0,,,0,,,,,,0,,0,0,,0,0,0,,,0,,1.04,,0,,0,0,,,,,,,,,0,,,0,0,0,,0,0,0,0,,0,,,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,,23.04,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.84,,,0,0,0,0,0,0,,2016,North/Northeast,Vega Baja,Cibuco (2013),Shallow,4
2016Cibuco (2013)5,3,10.96,0,0,0,0,10.96,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,0,,0,,,,0,,,0,,0,,,,0,,,,,,,0,0,0,0,0,,33.97,0,33.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,0,0,,0,,0,0,0,0,,0,0,,0,,,0,0,0,0,,,0,0,,,0,0,,0,1.37,0,,,0,,,,0,0,0,0,0,,,0,,,,,,0,,0,0.41,,0,0,0,,,0,,0,,0,,0,0,,,,,,,,,0,,,0,0,0,,0,0,0,0,,0,,,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25.34,,,0,0,0,0,9.59,0,17.81,0,0,0,0,0,0,0,0,0,0,0,0,52.74,,,0,0,0,0,0.55,0.55,,2016,North/Northeast,Vega Baja,Cibuco (2013),Shallow,5
2016Dakiti1,3.99,8.51,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,6.01,0,0,,,,,0,,,12.21,,0,,,,0,,,0,,23.92,,,,,,,,,,,0,36.14,22.52,0,22.52,,0,3.1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,0,0,,0,,0,0,0.8,0,,0,0,,0,,,0,0,0,0,,,0,0,,,0,0,,0,0,0,,,0,,,,0,0,0,0,0,,,0,,,,,,0,,0,0,,0.2,0,0,,,0,,0,,0,,0,0,,,,,,,,,0,,,0,0,0,,0,0,0,0,,0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,,18.42,,,1,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0.4,0,0,0,0,21.72,,,0,0,0,0,0,0,,2016,Vieques/Culebra,Isla Culebra,Dakiti,Intermediate,1
2016Dakiti2,5.36,7.2,0,4.83,0,2.28,14.31,0,0,0,0,0,0,0,0,0,1.82,6.56,0,0,,,,,0,,,3.83,,0,,,,0,,,0,,34.46,,,,,,,,,,,0,38.29,19.87,0,19.87,,0,1.37,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,,0,0,,0,,0,0,0,0,,0,0,,0,,,0,0,0,0,,,0,0,,,0,0,,0,0,0,,,0,,,,0,0,0,0,0,,,0,,,,,,0,,0,0.55,,0,0,0,,,0,,0,,0,,0,0,,,,,,,,,0,,,0,0,0,,0,0,0,0,,0,,,0,0,0,0,0.55,0,0,0,0.64,0,0,0,0,0,0,0,0.91,0,0.36,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,,9.3,,,3.01,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,15.41,,,0,0,0,0,0,0,,2016,Vieques/Culebra,Isla Culebra,Dakiti,Intermediate,2
2016Dakiti3,2.6,6.67,0,1.11,0,0.78,8.56,0,0,0,0,0,0,0,0,0,1.11,1.11,0,0,,,,,0,,,10.89,,0,,,,0,,,0,,29.89,,,,,,,,,,,0,40.78,26.78,0,26.78,,0,2.78,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,0,0,,0,,0,0,0,0,,0,0,,0,,,0,0,0,0,,,0,0,,,0,0.44,,0,0,0,,,0,,,,0,0,0,0,0,,,0,,,,,,0,,0,0,,1.67,0,0,,,0,,0,,0,,0,0,,,,,,,,,0,,,0,0,0,,0,0,0,0,,0,,,0,0,0,0,2.11,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0,0,0,0,0,0,0,,13.33,,,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,,,0,0,0,0,0,0,,2016,Vieques/Culebra,Isla Culebra,Dakiti,Intermediate,3
2016Dakiti4,3.44,4.48,0,4.38,0,1.98,10.83,0,0,0,0,0,0,0,0,0,1.67,6.67,0,0,,,,,0,,,13.02,,0,,,,0,,,0,,23.13,,,,,,,,,,,0,36.15,19.48,0,19.48,,0,9.69,9.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,0,0,,0,,0,0,0,0,,0,0,,0,,,0,0,0,0,,,0,0,,,0,0,,0,1.04,0,,,0,,,,0,0,0,0,0,,,0,,,,,,0,,0,0,,0.31,0,0,,,0,,0,,0,,0,0,,,,,,,,,0,,,0,0,0,,0,0,0,0,,0,,,0,0,0,0,1.35,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.81,,,0.52,0,0,0,1.67,0,1.77,0,0,0,0.52,0,0,0.21,0,0,0,0,0,14.17,,,0,0,0,0,0,0,,2016,Vieques/Culebra,Isla Culebra,Dakiti,Intermediate,4
2016Dakiti5,4.66,10.12,0,4.78,0,2.48,17.38,0,0,0,0,0,0,0,0,0,0.96,3.34,0,0,,,,,0,,,9.55,,0,,,,0,,,0,,30.66,,,,,,,,,,,0,40.21,23.97,0,23.97,,0,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,0,0,,0,,0,0,0.57,0,,0,0,,0,,,0,0,0,0,,,0,0,,,0,0,,0,0,0,,,0,,,,0,0,0,0,0,,,0,,,,,,0,,0,0,,0,0,0,,,0,,0,,0,,0,0,,,,,,,,,0,,,0,0,0,,0,0,0,0,,0,,,0,0,0,0,0.57,0,0,0,2.39,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0,0,0,,2.48,,,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,7.83,,,0,0,0,0,0,0,,2016,Vieques/Culebra,Isla Culebra,Dakiti,Intermediate,5
2016El Negro 10m1,4.18,19.84,0,2.67,0,7.21,29.71,0,0,0,0,0,0,0,0,0,0,0.49,0,0,,,,,0,,,8.69,,0,,,,0,,,0,,0,,,,,,,,,,,0,8.69,0,0,0,,45.11,0,45.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,0,0,,0,,0,0,0,0,,0.59,0,,0,,,0,0,0,0,,,0,0.99,,,0,0.3,,0,0,0,,,0,,,,0,0,0,0,0,,,0,,,,,,0,,0,0,,0,0,0,,,0,,0,,0,,0,0,,,,,,,,,0,,,0,0,0,,0,0,0,0,,0,,,0,0.79,0,0.5,3.16,0,0,0,5.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,,0,,,0.69,0,0,0,0,0,0,0,0,0,2.57,0,1.38,0,0,0,0,0,0,12.14,,,0,0,0,0,0,0,,2016,West,Cabo Rojo,El Negro 10m,Shallow,1
2016El Negro 10m2,7.18,23.23,0,8.39,0,0.65,32.27,0,0,0,0,0,0,0.57,0,0.57,0,12.31,0,0,,,,,0,,,4.48,,0,,,,0,,,0,,0,,,,,,,,,,,0,4.48,0,0,0,,28.69,0,28.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,0,0,,0,,0,0,0,0,,0.24,0,,0,,,0,0,0,0,,,0,0.16,,,0,0.16,,0,0,0,,,0,,,,0,0,0,0,0,,,0,,,,,,0,,0,0,,0.65,0,0,,,0.24,,1.22,,0,,0,0,,,,,,,,,0.24,,,0,0,0,,0,0,0,0,,0,,,0,0,0,0.43,3.36,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,,10.43,,,0.81,0,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0,0,0,0,18.5,,,0,0,0,0,0,0,,2016,West,Cabo Rojo,El Negro 10m,Shallow,2
2016El Negro 10m3,3.97,3.31,8.02,5.81,0,3.21,20.34,0,0,0,0,0,0,1.7,0,1.7,0,12.83,0,0,,,,,0,,,4.81,,0,,,,0,,,0,,0,,,,,,,,,,,0,4.81,0,0,0,,30.86,0,30.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,0,,0,,0,0,0,0,,0,0,,0,,,0,0,0,0,,,0,0.4,,,0,0,,0,0,0,,,0,,,,0,0,0,0,0,,,0,,,,,,0,,0,0.4,,0.5,0.7,0.2,,,0,,0,,0,,0,0.1,,,,,,,,,0,,,0,0,0,,0,0,0,0,,0,,,0,0,0,0,2.3,0,0,0,9.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,,13.03,,,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.65,,,0,0,0,0,0,0,,2016,West,Cabo Rojo,El Negro 10m,Shallow,3
2016El Negro 10m4,4.62,9.48,1.53,15.52,0,0,26.53,0,0,0,0,0,0,0,0,0,0,9.1,0,0,,,,,0,,,7.28,,0,,,,0,,,0,,0,,,,,,,,,,,0,7.28,0,0,0,,31.03,0,31.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,0,0,,0,,0,0,0,0,,0,0,,1.63,,,0,0,0,0,,,0.38,0,,,0,0,,0,0,0,,,0,,,,0,0,0,0,0,,,0,,,,,,0,,0,0.38,,0,0,0,,,0,,0,,0,,0,0,,,,,,,,,0.19,,,0,2.49,0,,0,0,0,0,,0,,,0,0,0,0,5.08,0,0,0,0.96,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0.96,0,0,0,0,0,0,0,,13.6,,,1.72,0,0,0,1.25,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,20.59,,,0,0,0.38,0,0,0.38,,2016,West,Cabo Rojo,El Negro 10m,Shallow,4
2016El Negro 10m5,5.27,10.91,0,6.42,0,10.63,27.96,0,0,0,0,0,0,0,0,0,0,7.79,0,0,,,,,0,,,2.84,,0,,,,0,,,0,,0,,,,,,,,,,,0,2.84,0,0,0,,25.48,0,25.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.18,1.28,0.73,0,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,0,,0,,0,0,0,0,,0,0,,0,,,0,0,0,0,,,0,0.55,,,0,0,,0,0,0,,,0,,,,0,0,0,0,0,,,0,,,,,,0,,0,0.92,,1.47,0,0,,,0,,1.65,,0,,0,0.92,,,,,,,,,0.18,,,0.55,0,0,,0,0,0,0,,0,,,0,0,0,0.92,7.15,0,0,0,4.12,0,0,2.29,0,0,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,,8.8,,,1.19,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.66,,,0,0,0.92,0,0,0.92,,2016,West,Cabo Rojo,El Negro 10m,Shallow,5
2016El Negro 5m1,6.38,10.68,9.32,0,0,0,20,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0,,,,,0,,,1.62,,0,,,,0,,,0,,0,,,,,,,,,,,0,1.62,0,0,0,,43.76,0,43.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,,0,0,,0,,0,0,0.26,0,,0,0,,0.26,,,0,0,0,0,,,0,2.05,,,0,0,,0,0,0,,,0,,,,0,0,0,0,0,,,0,,,,,,0,,0,0.6,,0,0,0,,,0,,0,,0,,0,0,,,,,,,,,0,,,0,0,0,,0,0,0,0,,0,,,0,0,0,0,3.16,0,0,0,5.21,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,14.96,,,5.81,0,0,0,0.68,0,1.28,0,0,0,0,0,0.43,0,0,0,0,0,0,30.43,,,0,0,0,0,0,0,,2016,West,Cabo Rojo,El Negro 5m,Very Shallow,1
2016El Negro 5m2,6.24,7.24,11.55,2.93,0,1.72,23.45,0,0,0,0,0,0,0,0,0,0,1.55,0,0,,,,,0,,,4.83,,0,,,,0,,,0,,0,,,,,,,,,,,0,4.83,0,0,0,,32.5,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0.17,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,0.26,0,,0,,0,0,1.03,0,,0,0,,0,,,0,0,0,0,,,0,0.95,,,0,0,,0,0,0,,,0,,,,0,0,0,0,0,,,0,,,,,,0,,0,0,,0,0,0,,,0,,0,,0,,0,0.17,,,,,,,,,0,,,0,0.95,0,,0,0,0,0,,0,,,0,0,0,0,3.36,0,0,0,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18.53,,,5.95,0,0,0,2.59,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,34.14,,,0,0,0,0,0,0,,2016,West,Cabo Rojo,El Negro 5m,Very Shallow,2
2016El Negro 5m3,4.52,2.51,20.64,1.83,0,1.35,26.33,0,0,0,0,0,0,0.77,0,0.77,0,0.39,0,0,,,,,0,,,9.16,,0,,,,0,,,0,,0,,,,,,,,,,,0,9.16,0,0,0,,22.95,0,22.95,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0.77,0,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,0,0,,0,,0,0,0,0,,0,0,,0.19,,,0,0,0,0,,,0.29,0.68,,,0,0,,0,0,0,,,0,,,,0,0,0,0,0,,,0,,,,,,0,,0,0,,0.39,0,0,,,0,,0,,0,,0,0,,,,,,,,,0,,,0,0,0,,0,0,0,0,,0,,,0,0,0,0,1.54,0,0,0,6.46,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,,20.06,,,1.74,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8,,,0,0,0,0,0,0,,2016,West,Cabo Rojo,El Negro 5m,Very Shallow,3
2016El Negro 5m4,4.78,3.5,15.91,0.47,0,1.04,20.93,0,0,0,0,0,0,0.09,0,0.09,0.47,9.19,0,0,,,,,0,,,7.39,,0,,,,0.19,,,0,,0,,,,,,,,,,,0,7.58,0,0,0,,33.81,0,33.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,2.46,0,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,0,0,,0,,0,0,0,0,,0,0,,0,,,0,0,0,0,,,0,1.89,,,0,0,,0,0,0,,,0,,,,0,0,0,0,0,,,0,,,,,,0,,0,0,,0,0.19,0,,,0,,0,,0,,0,0,,,,,,,,,0,,,0,0,0,,0,0,0,0,,0,,,0,0,0,0.38,2.46,0,0,0,10.98,0,0,0,0,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.5,,,1.42,0,0,0,0.95,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,22.63,,,0,0,0,0,0,0,,2016,West,Cabo Rojo,El Negro 5m,Very Shallow,4
2016El Negro 5m5,5.08,8.82,8.91,0,0,0,17.73,0,0,0,0,0,0,0,0.37,0.74,0.46,0.93,0,0,,,,,0,,,2.51,,0,,,,0.28,,,0,,0,,,,,,,,,,,0,2.79,0,0,0,,56.36,0,56.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,0,0,,0,,0,0,0.28,0,,0.19,0,,0.28,,,0,0,0,0,,,0,2.23,,,0,0,,0,0,0,,,0,,,,0,0,0,0,0,,,0,,,,,,0,,0,0,,0,1.3,0,,,0,,0,,0,,0,0,,,,,,,,,0,,,0,0,0,,0,0,0,0,,0,,,0,0,0,0.19,4.46,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.8,,,4.36,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,,,0,0,0,0,0,0,,2016,West,Cabo Rojo,El Negro 5m,Very Shallow,5
2016El Seco1,,0,0,2.19,0,0,2.19,0,0,0,0,0,0,0,0,0,4.38,1.09,0,0,,,,,0,,,0,,0,,,,0,,,0,,0,,,,,,,,,,,33.21,33.21,0,18.98,18.98,,0,3.28,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0.36,,0,0,0,0,,0,0,,0,,,0,0,0,0,,,0,0,,,0,0,,0,0,0,,,0,,,,0,0,0,0,0,,,0,,,,,,0,,0,0,,0,0,0,,,0,,0,,0,,0,0,,,,,,,,,0,,,0,0,0,,0,0,0,0,,0,,,0,0,0,0,0.36,0,0,0,0,0,0,0,1.09,0,0,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,32.12,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,36.13,,,0,0,0,0,0,0,,2016,Vieques/Culebra,Isla Vieques,El Seco,MESOPHOTIC,1
2016El Seco2,,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,1.21,0,0.4,0,0,,,,,0,,,0,,0,,,,0,,,0,,0,,,,,,,,,,,23.79,23.79,0,13.71,13.71,,0,3.23,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,0,,0,0,0,0,,0,0,,0,,,0,0,0,0,,,0,0,,,0,0,,0,4.84,0,,,0,,,,0,0,0,0,0,,,0,,,,,,0,,0,0,,0,0,0,,,0,,0,,0,,0,0,,,,,,,,,0,,,0,0,0,,0,0,0,0,,0,,,0,0,0,0,4.84,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50.81,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,52.02,,,0,0,0,0,0,0,,2016,Vieques/Culebra,Isla Vieques,El Seco,MESOPHOTIC,2
